Expr1000,ITEMDESCRIPTION,ITEMUNITE,ITEMSPECIFICATIONNO,ITEMBASICRATE,LABOURRATE
I No:6-01B / Pg No:46,This Item is DELETED -- Providing and fixing trap /granite/ quartzite/ gneiss/ guard stone/ indicator stones/ boundry stones of standard size & shape including fixing In ground and white washing etc. complete,No.,MORTH 807,0,0
I No:6-01C / Pg No:46,This Item is DELETED -- Providing and fixing M-15 R.C.C. guard stone/ indicator stones/ boundary stones of standard size and shape including fixing in C.C. 1:4:8 and white washing etc. complete.,No.,MORTH 807,0,0
I No:6-02A / Pg No:46,"Providing and fixing R.C.C. 200 metre stones as per I.R.C. standard including fixing in standard size C.C.1:4:8 block including curing, painting lettering etc. complete.",No.,MORTH 805,1027,371
I No:6-02B / Pg No:46,Providing & fixing R.C.C. 1:2:4 ordinary km. stones including painting numbering etc. complete for N.H./ S.H./ M.D.R. etc. as per IRC design for highway km stone and fixing in standard size C.C. 1:4:8 block etc. complete.,No.,MORTH 805,3249,1110
I No:6-02C / Pg No:46,"Providing and fixing R.C.C. 5th Km. stones, on N.H./ S.H./ M.D.R. etc. including painting, numbering etc complete as per IRC design for highway km. stones and fixing in standard size c.c. 1:4:8 block complete.",No.,MORTH 805,5355,2048
I No:6-03A / Pg No:46,"Dismantling of 5th KM Stone including cutting of earth, foundation and disposal of dismantled material with all lifts and lead upto 1000 m and back filling of pit.",No.,MORTH 202,737,549
I No:6-03B / Pg No:46,"Dismantling of Ordinary KM Stone including cutting of earth, foundation and disposal of dismantled material with all lifts and lead upto 1000 m and back filling of pit.",No.,MORTH 202,437,321
I No:6-03C / Pg No:46,"Dismantling of Hectometer Stone including cutting of earth, foundation and disposal of dismantled material with all lifts and lead upto 1000 m and back filling of pit.",No.,MORTH 202,87,64
I No:6-04A / Pg No:46,Painting with approved enamel paint in two coats including cleaning surface and lettering for two hundred metre stone etc. complete.,No.,MORTH 805.1,147,108
I No:6-04B / Pg No:46,Painting with approved enamel paint in two coats including cleaning surface and lettering for ordinary kilometre stone etc. complete.,No.,MORTH 805.1,509,339
I No:6-04C / Pg No:46,Painting with approved enamel paint in two coats including cleaning surface and lettering for fifth k.m. stone etc. complete.,No.,MORTH 805.1,518,265
I No:6-04D / Pg No:46,Painting with approved enamel paint in two coats including cleaning surface and lettering for boundary stones etc. complete.,No.,MORTH 807,43,20
I No:6-04E / Pg No:46,Painting with approved enamel paint in two coats including cleaning surface and lettering for cautionary/ mandatory sign boards and village name boards etc. complete.,No.,MORTH 801,203,129
I No:6-04F / Pg No:46,Painting with approved enamel paint in two coats including cleaning surface and lettering for informatory sign boards etc. complete.,No.,MORTH 801,253,163
I No:6-04G / Pg No:46,"Painting with approved enamel paint in two coats including cleaning surface and lettering on masonry works with nalla flow direction, span number and location etc. complete.",No.,MORTH 801,30,17
I No:6-05 / Pg No:46,"Painting letters upto 20 cm height complete brushes, coir brushers, dusting, cleaning, including cost of paint etc. complete.",No.,MORTH 801,29,23
I No:6-06 / Pg No:46,Painting and numbering trees with white background and black lettering etc. complete.,No.,MORTH 801,31,25
I No:6-07 / Pg No:46,"Providing white & colour washing to road side trees in 2 coats in 2 bands of white and one red band at centre of 30 cm height each including preparing the surface, cost of material, conveying etc. complete.",No.,MORTH 801,57,35
I No:6-08A / Pg No:46,"Painting Line, Dashes, Arrows etc on Roads in two coats on new work with ready mixed road marking paint confirming to I.S. 164 on Bituminous surface including cleaning the surface of all dirt, dust and other foreign matter, demarcation at site and traffic control (Over 10cm wide) (MORTH-803) -- New Surface",Sq.Mt.,MORTH 803,196,139
I No:6-08B / Pg No:46,"Painting Line, Dashes, Arrows etc on Roads in two coats on new work with ready mixed road marking paint confirming to I.S. 164 on Bituminous surface including cleaning the surface of all dirt, dust and other foreign matter, demarcation at site and traffic control (Upto 10cm wide) (MORTH-803) -- New Surface",Sq.Mt.,MORTH 803,164,111
I No:6-08C / Pg No:47,"Painting Line, Dashes, Arrows etc on Roads in two coats on new work with ready mixed road marking paint confirming to I.S. 164 on Bituminous surface including cleaning the surface of all dirt, dust and other foreign matter, demarcation at site and traffic control (Over 10cm wide) (MORTH-803) -- Old Surface",Sq.Mt.,MORTH 803,140,101
I No:6-08D / Pg No:47,"Painting Line, Dashes, Arrows etc on Roads in two coats on new work with ready mixed road marking paint confirming to I.S. 164 on Bituminous surface including cleaning the surface of all dirt, dust and other foreign matter, demarcation at site and traffic control (Upto 10cm wide) (MORTH-803) -- Old Surface",Sq.Mt.,MORTH 803,152,111
I No:6-09 / Pg No:47,"Supplying & Fixing of Molded Shank Raised Pavement Markers / Cat's Eye made of polycarbonate and ABS moulded body and reflective panels with micro prismatic lens capable of providing total internal reflection of the light entering the lens face and shall support a load of 16000 kg tested in accordance to ASTM D 4280 Type H and complying to Specifications of Category A of MORTH Circular No RW/NH/33023/10-97 DO III Dt 11.06. 1997. The height, width and length shall not exceed 50 mm, 100 mm and 102 +/- 2 mm and with minimum reflective area of 13 Sqcm on each side and the slope to the base shall be 35 +/- 5 degree. The strength of detachment of the integrated cylindrical shanks, (of diameter not less than 19 +/- 2 mm and height not less than 30+/- 2 mm) from the body is to be a minimum value of 500 Kg. Fixing will be by drilling holes on the road for the shanks to go inside, without nails and using epoxy resin based adhesive as per manufacturer's recommendation and complete as directed by the engineer.The contractor shall  submit a two year warranty for satisfactory field performance including stipulated retro-reflectance of the reflecting panel, to the Engineer.",No.,MORTH 804,366,82
I No:6-10 / Pg No:47,"Providing and Fixing of Median Marker that are made of tough, high impact resistant, injection-molded, thermoplastic body with an isosceles trapezoidal structure of length, width and height not less than 15cm, 10cm and 10cm respectively and thickness not less than 1.8mm, the body structure shall be rounded at its acute angle, all the corners and edges. The plastic used for molding the Median Marker shall have a minimum Notched Izod Impact strength value of 600 J/m at room temperature, when tested in accordance with ASTM D256 and shall retain at least 70% of this value when subjected to accelerated weathering for 1000hrs as per ASTM G155 or UL746C. The logo of the manufacturer shall be embossed on either side of the body in the injection molding process. The Median Marker shall have rectangular-shaped, fluorescent yellow color retro-reflective sheeting of size not less than 8.5cm*8.5cm and with fully reflective micro prismatic cube corners as its retro-reflective elements as per IRC 67 2010 and  ASTM D4956 type XI specifications reflectivity values. The retro-reflective sheeting shall be one or both sides of the Median Marker and shall be edge protected with no exposed edges which will prevent edge lifting, vandalism, sheeting damage, etc. The Median Marker shall be fixed by a combination of epoxy adhesive and grouting.",No.,MORTH 806,458,29
I No:6-11 / Pg No:48,"Providing and fixing reflective fluorescent tape on old road sign board by following the procedure recommanded by manufacturer. Tape shall be consist of white or coloured sheeting having smooth outer surface which has the property of retro-reflection over its entire surface.It shall be weather resistant and show colour fastness.It shall be new and unused and shall show no evidance of king,scaling,pitting,blisting,edge lifting and shall have negligible shrinkage or expansion including cleaning / scraping and painting of existing board etc. complete. (Guidance on the recommanded application of each class of tape may be taken from IRC-67)",Sq.Mt.,MORTH 804,5297,1907
I No:6-12A / Pg No:48,"Road Marking with Hot Applied Thermoplastic Compound with Reflectorizing Glass Beads on Bituminous Surface- Providing and laying of hot applied thermoplastic compound 2.5 mm thick including reflectorizing glass beads @ 250 gms per sqm area, thickness of 2.5 mm is exclusive of surface applied glass beads as per IRC:35 .The finished surface to be level, uniform and free from streaks and holes.complete.",Sq.Mt.,MORTH 803.4,666,27
I No:6-12B / Pg No:48,"Providing and applying Cold plastic paint two component rolled on surfacing material solvent free,high build two pack seamless,tough,skid resistant,material with has property of attaining 2.00mm thickness in single coat application white(or as required colour )based on glass and colour retaining acralic cross linking resin system for coloured road surfacing including surface cleaning and cost of all material etc. complete. (All inclusive on bitumen or concrete surface) work shall carried out as per IRC 35-2015 clause 2.2)",Sq.Mt.,MORTH 803.4,1516,58
I No:6-13 / Pg No:49,"Providing and fixing Aluminum-backed flexible prismatic (AFP) sheeting consisting Yellow colored flexible prismatic sheeting with non-metallic prismatic lens as Retroreflective elements and conforming to ASTM D 4956-09 Type VI specification for rebound able Retroreflective sheeting. This flexible prismatic sheeting shall be of 1ft width and laminated at the back with a 50 micron Aluminum (Al) foil with pressure sensitive adhesive and liner. Further, this flexible prismatic sheeting shall have screen printed arrow/slant line pattern in black color in a continuous roll format. Neither AFP sheeting nor the flexible prismatic sheeting used in it shall crack when slowly bent in 1 second time around a 1/8th inch mandrel after being conditioned for 24hrs at 0?C and tested as per section S2.2.2. of ASTM D 4956-09. The AFP sheeting, with the liner removed, shall be applied with a neoprene contact adhesive with a Polychloroprene as base, viscosity of 200-450 cps and solid content of 20-30%. Once applied, the edges of the product shall be sealed all around with a two-part epoxy based structural adhesive and shall be extremely resistant to peel-off. A test report from institutes like ARAI/CRRI confirming to above mentioned flexibility and ASTM-D4956-09 Type-VI retro reflectivity performance of the flexible prismatic sheeting used in AFP shall be submitted by the tenderer during prequalification and supply of material.",Sq.Mt.,MORTH 806,8403,375
I No:6-14 / Pg No:49,"Providing Vertical Delineator having wide angle cube corner micro prismatic non metallic reflective sheeting confirming to Type XI of ASTM D4956 -09  with White Color and Red Color combination and having minimum of retro reflective exposed area of 125 Sq CM on top slots & 35 Sq CM on bottom slots and no edges shall be exposed for tampering. This tubular delineator shall have a core and shell construction, shell shall be made of tough, high impact resistant, injection-molded, thermoplastic outer body & the inner core shall consist of powder coated or painted Mild steel of minimum thickness 1.0mm.& core-shell structure shall be of height not less than 800 mm above the ground and width not less than 80 mm. The metallic core of the delineator shall extend 300mm beyond the shell length from bottom for installing in the ground. The extended portion shall have slots to insert anchoring rods for enhancing the concrete grip. The logo of the manufacturer shall be embossed on either side of the body in the injection molding process. The engineering thermoplastic used for making the delineator body shall have minimum initial mechanical properties of 600J/m tested in accordance with ASTM D256 and shall retain at least 70% of these minimum initial values when subjected to accelerated weathering for 1000hrs as per ASTM G155 or UL 746C  and as per IRC 79 specifications and including fixing the unit in M20 Grade Cement Concrete of Size 30x30x40 cm including excavation for pit.",No.,MORTH 806,2990,448
I No:6-15 / Pg No:50,"Road Delineators:  Supplying and installation of delineators (Roadway Indicators, Hazard markers, Object markers) 80 to 100 cm high above ground level, painted black and white in 15 cm wide strips, fitted with 80x100mm rectangular or 75mm dia. Circular reflectorised panels at the top, buried or pressed into the ground and confirming to I.R.C. 79 and the drawings",No.,MORTH 806,822,21
I No:6-16 / Pg No:50,"Providing and fixing steel pipe delineators of 10 cm. in diameter and total height of 130 cm, provided with 2 strips of white retroreflective sheeting of size 5 cm. x 32.5 cm. each fixed horizontally and 2 strips of red retroreflective sheeting each having size 5 cm. x 32.5 cm. fixed horizontally at top, with M.S. round cap having diameter 11 cm. and wire mesh at top (10 guage thick) and height of wire mesh 15 cm, M.S. hold fast 6 mm thick with 35 cm. in length, fixing the delineators in C.C. 1:4:8 concrete block of size 25 cm. x 25 cm. x 45 cm. with necessary excavation etc. complete.",No.,MORTH 806,1006,21
I No:6-17 / Pg No:50,"This Item is DELETED --Supplying of Solar Raised Pavement Markers made of polycarbonate moulded body with circular shape, solar powered, LED self illumination in active mode, 360 degree illumination and reflective panels with micro prismatic lens capable of providing total internal reflection of the light entering the lens face in passive mode. The marker shall support a load of 20000 kg tested in accordance to ASTM D 4280. The marker should be resistant to dust and water ingress according to IP 65 standards and should withstand temperatures in the range of 0 C to 70 C. Color of lighting could be provided in red or yellow (amber) as per requirement and typical frequency of blinking is 1 Hz. There should be current losses of less than 20 micro-amperes at 2.4 V in sleep-charging mode to enhance the life of the marker and a full charge should provide for a minimum autonomy of 50 hours. The height, width and length of the marker shall not be less than 10 mm x 100 mm x 100 mm. Also, the surface diameter of the marker shall not be less than 100 mm respectively. The weight of the marker shall not exceed 0.5 Kilograms. Fixing will be by drilling holes on the road for the shanks to go inside, without nails and using epoxy resin based adhesive and complete as directed by the engineer.The contractor shall submit a two year warranty for satisfactory field performance including stipulated retro-reflectance of the reflecting panel, to the Engineer.",No.,MORTH 804,0,0
I No:6-18 / Pg No:50,Supplying precast conventional reflective delinators on four sides for road signs,No.,MORTH 806,415,138
I No:6-19 / Pg No:50,Fixing in position Cautionary/ Mandatory sign boards in ground with C C 1:4:8 block of 60cm x 60cm x 75cm size etc. complete as directed including all leads.,No.,MORTH 801,975,123
I No:6-20 / Pg No:50,Fixing in position Road Junction/ Informatory Sign Board in ground with C.C.1:4:8 block of 60cm x 60cm x 75cm size including all leads complete.,No.,MORTH 801,1949,246
I No:6-21 / Pg No:50,"Providing and fixing including conveyance charges upto a distance of 200 Km. precast concrete post delinators, post of size 130 x 90 x 1300 milimetre consisting of 4 B.T. wires with 14,000 Kg/cm2 C.C. M-20 grade 16mm dia. hold fast, including excavation & C.C. 1:4:8 foundation block, oil painting post with 3 coats and Red fluorescent tape 75 x 75mm and white floursent border 20mm wide around the red tape on all the four sides with necessary adhesive and lamination etc. complete.",No.,MORTH 806,545,140
I No:6-22 / Pg No:50,"Supplying rolled steel channel post of 100 x 50 mm (ISMC) drilled on top and painted with one coat of epoxy primer and two coats of epoxy finish paint having black and white bands of 25 cm last part of the post 0.75 m below ground level is painted with three coats of red lead paint with 2 nos. of high tensile G.I. bolt and nut of size 10 mm Dia. of 25 mm long including transportation etc. complete. Spec. No. : As per IRC-67,  & M.O.R.T. & H. Circular No. RW/NH-33023/31/88 D.O.III  Dated 2-5-1994",R.Mt.,MORTH 801,1443,225
I No:6-23 / Pg No:51,"Supplying M.S. Angle iron post of size 65 mm x 65 mm x 6 mm drilled on top and painted with one coat of epoxy primer and two coats of epoxy finish paint having black and white bands of 25 cm, last part of the post 0.75 m below ground level is painted with three coats of red lead paint with 2 nos. of high tensile G.I. bolt and nut of size 10 mm dia. of 25 mm long including transportation etc. complete. Spec. No. : As per IRC-67,  & M.O.R.T. & H. Circular No. RW/NH-33023/31/88 D.O.III Dated 2-5-1994",R.Mt.,MORTH 801,1347,274
I No:6-24A / Pg No:51,"Supplying M.S. Angle iron post of size 65 mm x 65 mm x 6 mm duly painted with one coat of red oxide paint and two coats of synthetic enamel finish paint having black and white bands of 25 cm width including 2 nos of G.I. bolt and nut of size 10 mm dia. And 20 mm long including transportation etc. complete. Spec. No. : As per IRC-67, & M.O.R.T. & H. Circular No. RW/NH-33023/31/88 D.O.III  Dated 2-5-1994",R.Mt.,MORTH 801,853,175
I No:6-24B / Pg No:51,"Supplying M.S. Angle iron post of size 50 mm x 50 mm x 5 mm duly painted with one coat of red oxide paint and two coats of synthetic enamel finish paint having black and white bands of 25 cm width including 2 nos of G.I. bolt and nut of size 10 mm dia. and 20 mm long including transportation etc. complete. Spec. No. : As per IRC-67, & M.O.R.T. & H. Circular No. RW/NH-33023/31/88 D.O.III  Dated 2-5-1994",R.Mt.,MORTH 801,572,175
I No:6-25 / Pg No:51,"Supplying M.S. Angle iron frame for informatory sign boards of size 35 mm x 35 mm x 3 mm welded and making neccesary holes required for fixing and painted with one coat of epoxy primer and two coats epoxy finish paint etc. complete.Spec. No. : As per IRC-67,  & M.O.R.T. & H. Circular No. RW/NH-33023/31/88 D.O.III Dated 2-5-1994",R.Mt.,MORTH 801,411,175
I No:6-26A / Pg No:51,"Providing and constructing Information  Pillar of Brick Masonry in C.M. 1:6 of size 2.0 m x 0.23m x 1.0 m with base pedestal of size 2.3 m x 0.35 m x 0.45 m (0.3 m above ground), excavtion in ground upto 0.4 m, laying 0.15 m thick 80 mm soling,0.10 m thick c.c. 1:3:6, finishing the pedestal and pillar in cement plaster 12 mm thick in C.M. 1:5 and finishing the pillar with neat cement finish ,applying flat oil paint of approved colour in two coats, including curing, finishing etc complete.(In Strata other than B.C. Soil) Spec. No. :As directed by Engineer-in-charge.",No.,MORTH 805,13833,4264
I No:6-26B / Pg No:51,"Providing and constructing Information  Pillar of Brick Masonry in C.M. 1:6 of size 2.0 m x 0.23 m x 1.0 m with base pedestal of size 2.3 m x 0.35 m x 0.45 m (0.3 m above ground), excavtion in ground upto 0.52 m, laying 0.15 m thick 80 mm soling, 0.10 m thick c.c. 1:3:6, finishing the pedestal and pillar in cement plaster 12 mm thick in C.M. 1:5 and finishing the pillar with neat cement finish, applying flat oil paint of approved colour in two coats, including curing, finishing etc complete.(In B.C. Soil with 12 mm thick R.C.C. raft in M-15, including reinforcement) Spec. No. :As directed by Engineer-in-charge.",No.,MORTH 805,16487,4736
I No:6-27A / Pg No:52,"Providing and fixing Mandatory/Regulatory sign boards in circular shape of 600 mm dia made out of 1.5mm aluminum sheet bonded with white retro reflective sheeting of Class B ( Type IV High intensity micro-prismatic grade sheeting-HIP) having pressure sensitive/heat activated adhesive retoreflective specified back ground, border and back side retoreflctive symbols, letters, numerals, arrow as per IRC:67- 2012 Table No 8.3 Supported with back support frame 25mm x 25mm x 3mm, duly painted on back side with grey stove enamel paint and supported on one no. of M. S. angle iron post of size 65 mm X 65 mm X 6 mm, 3.45 m long, duly painted with with flat oil paint having alternate black and white bands of 25 cm width including G.I. fixtures etc; fixing  the boards in M25 grade concrete block of size 60cm X 60cm X 75cm including transportation etc; complete. Class B ( Type IV High intensity micro-prismatic grade sheeting-HIP) shall have 7 years written warranty from the manufacturer & authorised distributor/convertor issued for field performance including the screen printed areas and cut-out sheeting and cut-out durable transparent overlay film and this warranty certificate in original should be submitted to the Engineer in charge by the contractor/supplier.",No.,MORTH 801,4516,706
I No:6-27B / Pg No:52,"Providing and fixing Mandatory/Regulatory sign boards in circular shape of 750 mm dia made out of 2mm aluminum sheet bonded with white retro reflective sheeting of Class B (Type IV High intensity micro-prismatic grade sheeting-HIP) having pressure sensitive/heat activated adhesive retoreflective specified back ground, border and back side retoreflctive symbols, letters, numerals, arrow as per IRC:67- 2012 Table No 8.3 Supported with back support frame 25mm x 25mm x 3mm, duly painted on back side with grey stove enamel paint and supported on one no. of M. S. angle iron post of size 65 mm X 65 mm X 6 mm, 3.45 m long, duly painted with with flat oil paint having alternate black and white bands of 25 cm width including G.I. fixtures etc; fixing the boards in M25 grade concrete block of size 60cm X 60cm X 75cm including transportation etc; complete. Class B ( Type IV High intensity micro-prismatic grade sheeting-HIP) shall have 7 years written warranty from the manufacturer & authorised distributor/convertor issued for field performance including the screen printed areas and cut-out sheeting and cut-out durable transparent overlay film and this warranty certificate in original should be  ubmitted to the Engineer in charge by the contractor/supplier.",No.,MORTH 801,4548,706
I No:6-27C / Pg No:52,"Providing and fixing Mandatory/Regulatory sign boards in circular shape of 900 mm dia made out of 2mm aluminum sheet bonded with white retro reflective sheeting of Class B ( Type IV High intensity micro-prismatic grade sheeting-HIP) having pressure sensitive/heat activated adhesive retoreflective specified back ground, border and back side retoreflctive symbols, letters, numerals, arrow as per IRC:67- 2012 Table No 8.3 Supported with back support frame 25mm x 25mm x 3mm, duly painted on back side with grey stove enamel paint and supported on one no. of M. S. angle iron post of size 65 mm X 65 mm X 6 mm, 3.45 m long, duly painted with with flat oil paint having alternate black and white bands of 25 cm width including G.I. fixtures etc; fixing the boards in M25 grade concrete block of size 60cm X 60cm X 75cm including transportation etc; complete. Class B ( Type IV High intensity micro-prismatic grade sheeting-HIP) shall  have 7 years written warranty from the manufacturer & authorised distributor  /convertor issued for field performance  including the screen printed areas and cut-out sheeting and cut-out durable transparent overlay film and this warranty certificate in original should be submitted to the Engineer in charge by the contractor/supplier.",No.,MORTH 801,5735,706
I No:6-27D / Pg No:52,"Providing and fixing Mandatory/Regulatory sign boards in circular shape of 1200 mm dia made out of 2mm aluminum sheet bonded with white retro reflective sheeting of Class B ( Type IV High intensity micro-prismatic grade sheeting-HIP) having pressure sensitive/heat activated adhesive retoreflective specified back ground, border and back side retoreflctive symbols, letters, numerals, arrow as per IRC:67- 2012 Table No 8.3 Supported with back support frame 25mm x 25mm x 3mm, duly painted on back side with grey stove enamel paint and supported on one no. of M. S. angle iron post of size 65 mm X 65 mm X 6 mm, 3.45 m long, duly painted with with flat oil paint having alternate black and white bands of 25 cm width including G.I. fixtures etc; fixing the boards in M25 grade concrete block of size 60cm X 60cm X 75cm including transportation etc; complete. Class B ( Type IV High intensity micro-prismatic grade sheeting-HIP) shall have 7 years written warranty from the manufacturer & authorised distributor/convertor issued for field performance including the screen printed areas and cut-out sheeting and cut-out durable transparent overlay film and this warranty certificate in original should be submitted to the Engineer in charge by the contractor/supplier.",No.,MORTH 801,5788,706
I No:6-27E / Pg No:52,"Providing and fixing Mandatory/Regulatory sign boards in circular shape of 600 mm dia made out of 3mm aluminum composite material ( ACM) sheet bonded with white retro reflective sheeting of Class B ( Type IV High intensity microprismatic grade sheeting-HIP) having pressure sensitive/heat activated adhesive retoreflective specified back ground, border and back side retoreflctive symbols, letters, numerals, arrow as per IRC:67-2012 Table No 8.3 Supported with back support frame 25mm x 25mm x 3mm, duly painted on back side with grey stove enamel paint and supported on one no. of M. S. angle iron post of size 65 mm X 65 mm X 6 mm, 3.45 m long, duly painted with with flat oil paint having alternate black and white bands of 25 cm width including G.I. fixtures etc; fixing the boards in M25 grade concrete block of size 60cm X 60cm X 75cm including transportation etc; complete. Class B ( Type IV High intensity micro-prismatic grade sheeting-HIP) shall have 7 years written warranty from the manufacturer & authorised distributor/convertor issued  for field performance including the screen printed areas and cut-out sheeting and cut-out durable transparent overlay film and this warranty certificate in original should be submitted to the Engineer in charge by the contractor/supplier.",No.,MORTH 801,7094,706
I No:6-27F / Pg No:52,"Providing and fixing Mandatory/Regulatory sign boards in circular shape of 750 mm dia made out of 4mm aluminum composite material ( ACM) sheet bonded with white retro reflective sheeting of Class B ( Type IV High intensity microprismatic grade sheeting-HIP) having pressure sensitive/heat activated adhesive retoreflective  specified back ground, border and back side retoreflctive symbols, letters, numerals, arrow as per IRC:67-2012 Table No 8.3 Supported with back support frame 25mm x 25mm x 3mm, duly painted on back side with grey stove enamel paint and supported on one no. of M. S. angle iron post of size 65 mm X 65 mm X 6 mm, 3.45 m long, duly painted with with flat oil paint having alternate black and white bands of 25 cm width including G.I. fixtures etc; fixing the boards in M25 grade concrete block of size 60cm X 60cm X 75cm including transportation etc; complete. Class B ( Type IV High intensity micro-prismatic grade sheeting-HIP) shall have 7 years written warranty from the manufacturer & authorised distributor/convertor issued for field performance including the screen printed areas and cut-out sheeting and cut-out durable transparent overlay film and this warranty certificate in original should be submitted to the Engineer in charge by the contractor/supplier.",No.,MORTH 801,7172,706
I No:6-27G / Pg No:52,"Providing and fixing Mandatory/Regulatory sign boards in circular shape of 900 mm dia made out of 4 mm aluminum sheet bonded with white retro reflective sheeting of Class B ( Type IV High intensity micro-prismatic grade sheeting-HIP) having pressure sensitive/heat activated adhesive retoreflective specified back ground, border and back side retoreflctive symbols, letters, numerals, arrow as per IRC:67- 2012 Table No 8.3 Supported with back support frame 25mm x 25mm x 3mm, duly painted on back side with grey stove enamel paint and supported on one no. of M. S. angle iron post of size 65 mm X 65 mm X 6 mm, 3.45 m long, duly painted with with flat oil paint having alternate black and white bands of 25 cm width including G.I. fixtures etc; fixing the boards in M25 grade concrete block of size 60cm X 60cm X 75cm including transportation etc; complete. Class B ( Type IV High intensity micro-prismatic grade sheeting-HIP) shall  have 7 years written warranty from the manufacturer & authorised distributor/convertor issued for field performance  including the screen printed areas and cut-out sheeting and cut-out durable transparent overlay film and this warranty certificate in original should be submitted to the Engineer in charge by the contractor/supplier.",No.,MORTH 801,10590,706
I No:6-27H / Pg No:52,"Providing and fixing Mandatory/Regulatory sign boards in circular shape of 1200 mm dia made out of 4mm aluminum composite material ( ACM) sheet bonded with white retro reflective sheeting of Class B ( Type IV High intensity microprismatic grade sheeting-HIP) having pressure sensitive/heat activated adhesive retoreflective specified back ground, border and back side retoreflctive symbols, letters, numerals, arrow as per IRC:67-2012 Table No 8.3 Supported with back support frame 25mm x 25mm x 3mm, duly painted on back side with grey stove enamel paint and supported on one no. of M. S. angle iron post of size 65 mm X 65 mm X 6 mm, 3.45 m long, duly painted with with flat oil paint having alternate black and white bands of 25 cm width including G.I. fixtures etc; fixing the boards in M25 grade concrete block of size 60cm X 60cm X 75cm including transportation etc; complete. Class B ( Type IV High intensity micro-prismatic grade sheeting-HIP) shall have 7 years written warranty from the manufacturer & authorised distributor/convertor issued for field performance including the screen printed areas and cut-out sheeting and cut-out durable transparent overlay film and this warranty certificate in original should be submitted to the Engineer in charge by the contractor/supplier.",No.,MORTH 801,10727,706
I No:6-28A / Pg No:53,"Providing and fixing Mandatory/Regulatory sign boards in circular shape of 600 mm dia made out of 1.5mm aluminum sheet bonded with white retro reflective sheeting of Class C ( Type XI Micro prismatic grade sheeting) having pressure sensitive/heat activated adhesive retoreflective specified back ground, border and back side retoreflctive symbols, letters, numerals, arrow as per IRC:67-2012 Table No 8.3 Supported with back support frame 25mm x 25mm x 3mm, duly painted on back side with grey stove enamel paint and supported on one no. of M. S. angle iron post of size 65 mm X 65 mm X 6 mm, 3.45 m long, duly painted with with flat oil paint having alternate black and white bands of 25 cm width including G.I. fixtures etc; fixing the boards in M25 grade concrete block of size 60cm X 60cm X 75cm including transportation etc; complete. Class C ( Type XI Micro prismatic grade sheeting) shall have 10 years written warranty from the manufacturer & authorised distributor / convertor  issued for field performance including the screen printed areas and cut-out sheeting and cut-out durable transparent overlay film and this warranty certificate in original should be submitted to the Engineer in charge by the contractor/supplier.",No.,MORTH 801,5364,706
I No:6-28B / Pg No:53,"Providing and fixing Mandatory/Regulatory sign boards in circular shape of 600 mm dia made out of 3 mm aluminum sheet bonded with white retro reflective sheeting of Class C ( Type XI Micro prismatic grade sheeting) having pressure sensitive/heat activated adhesive retoreflective specified back ground, border and back side retoreflctive symbols, letters, numerals, arrow as per IRC:67-2012 Table No 8.3 Supported with back support frame 25mm x 25mm x 3mm, duly painted on back side with grey stove enamel paint and supported on one no. of M. S. angle iron post of size 65 mm X 65 mm X 6 mm, 3.45 m long, duly painted with with flat oil paint having alternate black and white bands of 25 cm width including G.I. fixtures etc; fixing the boards in M25 grade concrete block of size 60cm X 60cm X 75cm including transportation etc; complete. Class C ( Type XI Micro prismatic grade sheeting) shall have 10 years written warranty from the manufacturer & authorised distributor / convertor  issued for field performance including the screen printed areas and cut-out sheeting and cut-out durable transparent overlay film and this warranty certificate in original should be submitted to the Engineer in charge by the contractor/supplier.",No.,MORTH 801,5396,706
I No:6-28C / Pg No:53,"Providing and fixing Mandatory/Regulatory sign boards in circular shape of 750 mm dia made out of 2mm aluminum sheet bonded with white retro reflective sheeting of Class C ( Type XI Micro prismatic grade sheeting) having pressure sensitive/heat activated adhesive retoreflective specified back ground, border and back side retoreflctive symbols, letters, numerals, arrow as per IRC:67-2012 Table No 8.3 Supported with back support frame 25mm x 25mm x 3mm, duly painted on back side with grey stove enamel paint and supported on one no. of M. S. angle iron post of size 65 mm X 65 mm X 6 mm, 3.45 m long, duly painted with with flat oil paint having alternate black and white bands of 25 cm width including G.I. fixtures etc; fixing the boards in M25 grade concrete block of size 60cm X 60cm X 75cm including transportation etc; complete. Class C ( Type XI Micro prismatic grade sheeting) shall have 10 years written  warranty from the manufacturer & authorised  istributor / convertor  issued for field performance including the screen printed areas and cut-out sheeting and cut-out durable transparent overlay film and this warranty certificate in original should be submitted to the Engineer in charge by the contractor / supplier.",No.,MORTH 801,7107,706
